Date,Simulated_Stock_Price,Previous_Close,Two_Days_Ago_Close,Price_Volatility
2023-01-01,150.00,0.00,0.00,0.0000
2023-01-02,151.35,150.00,0.00,0.0090
2023-01-03,149.88,151.35,150.00,0.0097
2023-01-04,152.11,149.88,151.35,0.0148
2023-01-05,153.45,152.11,149.88,0.0088
2023-01-06,151.99,153.45,152.11,0.0096
2023-01-07,154.01,151.99,153.45,0.0132
2023-01-08,156.78,154.01,151.99,0.0178
2023-01-09,157.21,156.78,154.01,0.0027
2023-01-10,155.83,157.21,156.78,0.0088
2023-01-11,153.90,155.83,157.21,0.0125
2023-01-12,152.76,153.90,155.83,0.0074
2023-01-13,150.11,152.76,153.90,0.0175
2023-01-14,148.98,150.11,152.76,0.0075
2023-01-15,151.23,148.98,150.11,0.0150
2023-01-16,152.40,151.23,148.98,0.0077
2023-01-17,153.67,152.40,151.23,0.0083
2023-01-18,155.98,153.67,152.40,0.0149
2023-01-19,156.01,155.98,153.67,0.0002
2023-01-20,157.88,156.01,155.98,0.0119
2023-01-21,159.32,157.88,156.01,0.0091
2023-01-22,160.11,159.32,157.88,0.0049
2023-01-23,158.75,160.11,159.32,0.0085
2023-01-24,159.21,158.75,160.11,0.0029
2023-01-25,161.43,159.21,158.75,0.0138
2023-01-26,160.87,161.43,159.21,0.0035
2023-01-27,163.21,160.87,161.43,0.0144
2023-01-28,162.99,163.21,160.87,0.0013
2023-01-29,161.87,162.99,163.21,0.0069
2023-01-30,160.21,161.87,162.99,0.0103
2023-01-31,162.55,160.21,161.87,0.0145
2023-02-01,163.43,162.55,160.21,0.0054
2023-02-02,161.98,163.43,162.55,0.0089
2023-02-03,160.87,161.98,163.43,0.0069
2023-02-04,159.43,160.87,161.98,0.0090
2023-02-05,161.21,159.43,160.87,0.0111
2023-02-06,163.88,161.21,159.43,0.0164
2023-02-07,165.12,163.88,161.21,0.0075
2023-02-08,164.87,165.12,163.88,0.0015
2023-02-09,166.32,164.87,165.12,0.0088
2023-02-10,167.54,166.32,164.87,0.0073
2023-02-11,165.98,167.54,166.32,0.0094
2023-02-12,168.21,165.98,167.54,0.0133
2023-02-13,170.11,168.21,165.98,0.0112
2023-02-14,169.87,170.11,168.21,0.0014
2023-02-15,171.43,169.87,170.11,0.0091
2023-02-16,172.88,171.43,169.87,0.0084
2023-02-17,171.99,172.88,171.43,0.0052
2023-02-18,170.21,171.99,12.88,0.0104
2023-02-19,168.98,170.21,171.99,0.0072
2023-02-20,171.21,168.98,170.21,0.0131
2023-02-21,173.54,171.21,168.98,0.0135
2023-02-22,175.87,173.54,171.21,0.0133
2023-02-23,176.01,175.87,173.54,0.0008
2023-02-24,174.99,176.01,175.87,0.0058
2023-02-25,176.43,174.99,176.01,0.0082
2023-02-26,178.21,176.43,174.99,0.0100
2023-02-27,179.87,178.21,176.43,0.0093
2023-02-28,181.43,179.87,178.21,0.0086
2023-03-01,180.11,181.43,179.87,0.0073
2023-03-02,182.32,180.11,181.43,0.0122
2023-03-03,183.45,182.32,180.11,0.0062
2023-03-04,181.98,183.45,182.32,0.0080
2023-03-05,180.21,181.98,183.45,0.0098
2023-03-06,182.76,180.21,181.98,0.0140
2023-03-07,184.21,182.76,180.21,0.0079
2023-03-08,185.98,184.21,182.76,0.0095
2023-03-09,186.21,185.98,184.21,0.0012
2023-03-10,184.75,186.21,185.98,0.0079
2023-03-11,186.98,184.75,186.21,0.0120
2023-03-12,188.43,186.98,184.75,0.0077
2023-03-13,189.21,188.43,186.98,0.0041
2023-03-14,190.11,189.21,188.43,0.0047
2023-03-15,188.76,190.11,189.21,0.0071
2023-03-16,187.98,188.76,190.11,0.0041
2023-03-17,189.43,187.98,188.76,0.0077
2023-03-18,191.21,189.43,187.98,0.0093
2023-03-19,190.87,191.21,189.43,0.0018
2023-03-20,189.98,190.87,191.21,0.0047
2023-03-21,192.43,189.98,190.87,0.0128
2023-03-22,193.65,192.43,189.98,0.0063
2023-03-23,195.87,193.65,192.43,0.0114
2023-03-24,194.98,195.87,193.65,0.0046
2023-03-25,196.21,194.98,195.87,0.0063
2023-03-26,198.76,196.21,194.98,0.0129
2023-03-27,200.11,198.76,196.21,0.0068
2023-03-28,201.32,200.11,198.76,0.0060
2023-03-29,199.87,201.32,200.11,0.0072
2023-03-30,202.11,199.87,201.32,0.0111
2023-03-31,203.43,202.11,199.87,0.0065
2023-04-01,201.98,203.43,202.11,0.0072
2023-04-02,204.65,201.98,203.43,0.0131
2023-04-03,205.87,204.65,201.98,0.0059
2023-04-04,206.11,205.87,204.65,0.0012
2023-04-05,204.98,206.11,205.87,0.0055
2023-04-06,207.32,204.98,206.11,0.0114
2023-04-07,208.98,207.32,204.98,0.0080
2023-04-08,209.11,208.98,207.32,0.0006
2023-04-09,211.43,209.11,208.98,0.0110
2023-04-10,210.98,211.43,209.11,0.0021
